"metric","value"
"Total records",72
"Unique journals/sources",42
"Records in top 5 sources",29
"Share of records in top 5 sources",0.402777777777778
"Records in top 10 sources",40
"Share of records in top 10 sources",0.555555555555556
"Singleton sources",33
"Share of singleton sources",0.785714285714286
"Gini coefficient of source concentration",0.363756613756614
"Herfindahl-Hirschman Index",0.0540123456790123
