"bradford_zone","n_sources","n_records_total","T1","T2","T3","T4","T5","T6","T7","T8"
"Zone 1: core sources",4,26,0.00187733872126752,0.248315569126035,0.11793415428361,0.0767707987116587,0.0799820233810523,0.153796631924352,0.15157815744046,0.169745326411564
"Zone 2: intermediate sources",14,22,0.262817252115856,0.136581715874109,0.0469001402482325,0.0979227692326533,0.133823968306354,0.0744042498890679,0.0459559545535641,0.201593949780163
"Zone 3: peripheral sources",24,24,0.256250503092737,0.0859801364653908,0.00234767858253416,0.0954596500002324,0.182011591091049,0.141776963005012,0.109386838787478,0.126786638975567
