"Year","T1","T2","T3","T4","T5","T6","T7","T8"
2008,3.17802694101189e-06,3.84047262276868e-05,0.00014305994014797,0.998849847121532,0.00025398530566853,0.000509842962854893,0.000196708518617438,4.97339800944965e-06
2013,5.88218936182744e-06,3.37477968438516e-05,4.28633716019223e-05,0.000147771558892107,4.09015376682089e-05,0.999633286030299,6.16959014459715e-05,3.38516138859488e-05
2015,3.00793046784179e-06,4.36532436158881e-05,5.29812513419441e-05,7.27933541873983e-05,7.81617522852091e-05,5.81642484567888e-05,0.999668309417361,2.29288022834755e-05
2019,0.000746900837969026,0.162882629410786,0.333049219090022,0.000286955280145274,0.000409742819317515,0.0079593877398237,0.000521309274229509,0.494143855547707
2020,0.000344714749382331,0.000142470516502168,0.00360605999438581,0.00642386672049994,0.959442586089199,0.000154077359146017,0.000141950443990517,0.0297442741268937
2021,0.000185385880970372,0.000300918516326976,0.00082428874610638,0.000279010700295543,0.333300986420597,0.200527663443017,0.33330878124683,0.131272965045857
2022,0.161240422517876,0.357691509409325,0.0127451838329879,0.0439792717795705,0.000938626769936225,0.255490458848273,0.16667049790283,0.0012440289392012
2023,0.325000944207936,0.174802017730324,9.63492282841516e-05,0.24947495195054,0.173186296735694,0.000111358680907545,0.00193772822896924,0.0753903532373445
2024,0.106023676625713,0.235544174654373,0.102618738564584,0.00761100557272547,0.0693981161370385,0.243190907366417,0.129591691296485,0.106021689782663
2025,0.216929420504712,0.0904312029907977,0.0441461639011539,0.087737481768336,0.130422523658689,0.0440950101572014,0.0852407298324766,0.300997467186634
