"chain","seed","median_cosine_similarity","mean_cosine_similarity","min_cosine_similarity","median_beta_correlation","mean_beta_correlation","median_top_term_jaccard","mean_top_term_jaccard"
2,322,0.853466991679363,0.78506111356881,0.476011067263006,0.850917674635019,0.78095806500975,0.274661508704062,0.24020986181435
1,321,0.842557670410319,0.810461829164529,0.511601960935759,0.839903562785793,0.807340968317926,0.236586493987049,0.242375123951868
3,323,0.797360222825274,0.807329704622261,0.602271751272258,0.794170306621271,0.803899989748704,0.267786561264822,0.271511718842073
