"threshold","retained_edges","positive_edges","negative_edges","density","mean_abs_r","median_abs_r","max_abs_r"
0.05,28,0,28,1,0.140015392832567,0.140957373434021,0.212512992628043
0.1,24,0,24,0.857142857142857,0.148689617902548,0.153538778381159,0.212512992628043
0.2,1,0,1,0.0357142857142857,0.212512992628043,0.212512992628043,0.212512992628043
