"","T1","T2","T3","T4","T5","T6","T7","T8"
"T1",0,-0.173805840685392,-0.112282304317196,-0.13192176590164,-0.177132492707027,-0.179693317022355,-0.157212211578231,-0.212512992628043
"T2",-0.173805840685392,0,-0.110102460597517,-0.142447139020876,-0.181587341002719,-0.170166641240333,-0.159209183813052,-0.177190365643049
"T3",-0.112282304317196,-0.110102460597517,0,0,0,0,0,-0.116048785107721
"T4",-0.13192176590164,-0.142447139020876,0,0,-0.126329252275024,-0.102015692011724,-0.113907328673128,-0.149865345184086
"T5",-0.177132492707027,-0.181587341002719,0,-0.126329252275024,0,-0.157735319717797,-0.107115763429255,-0.170276429533292
"T6",-0.179693317022355,-0.170166641240333,0,-0.102015692011724,-0.157735319717797,0,-0.139467607847165,-0.139352253454972
"T7",-0.157212211578231,-0.159209183813052,0,-0.113907328673128,-0.107115763429255,-0.139467607847165,0,-0.16117299626957
"T8",-0.212512992628043,-0.177190365643049,-0.116048785107721,-0.149865345184086,-0.170276429533292,-0.139352253454972,-0.16117299626957,0
